y_w,ge_timestamp,lt_timestamp
200718,1177933609,1178538409
200719,1178538409,1179143209
200720,1179143209,1179748009
200721,1179748009,1180352809
200722,1180352809,1180957609
200723,1180957609,1181562409
200724,1181562409,1182167209
200725,1182167209,1182772009
200726,1182772009,1183376809
200727,1183376809,1183981609
200728,1183981609,1184586409
200729,1184586409,1185191209
200730,1185191209,1185796009
200731,1185796009,1186400809
200732,1186400809,1187005609
200733,1187005609,1187610409
200734,1187610409,1188215209
200735,1188215209,1188820009
200736,1188820009,1189424809
200737,1189424809,1190029609
200738,1190029609,1190634409
200739,1190634409,1191239209
200740,1191239209,1191844009
200741,1191844009,1192448809
200742,1192448809,1193053609
200743,1193053609,1193658409
200744,1193658409,1194263209
200745,1194263209,1194868009
200746,1194868009,1195472809
200747,1195472809,1196077609
200748,1196077609,1196682409
200749,1196682409,1197287209
200750,1197287209,1197892009
200751,1197892009,1198496809
200752,1198496809,1199188009
200801,1199188009,1199706409
200802,1199706409,1200311209
200803,1200311209,1200916009
200804,1200916009,1201520809
200805,1201520809,1202125609
200806,1202125609,1202730409
200807,1202730409,1203335209
200808,1203335209,1203940009
200809,1203940009,1204544809
200810,1204544809,1205149609
200811,1205149609,1205754409
200812,1205754409,1206359209
200813,1206359209,1206964009
200814,1206964009,1207568809
200815,1207568809,1208173609
200816,1208173609,1208778409
200817,1208778409,1209383209
200818,1209383209,1209988009
200819,1209988009,1210592809
200820,1210592809,1211197609
200821,1211197609,1211802409
200822,1211802409,1212407209
200823,1212407209,1213012009
200824,1213012009,1213616809
200825,1213616809,1214221609
200826,1214221609,1214826409
200827,1214826409,1215431209
200828,1215431209,1216036009
200829,1216036009,1216640809
200830,1216640809,1217245609
200831,1217245609,1217850409
200832,1217850409,1218455209
200833,1218455209,1219060009
200834,1219060009,1219664809
200835,1219664809,1220269609
200836,1220269609,1220874409
200837,1220874409,1221479209
200838,1221479209,1222084009
200839,1222084009,1222688809
200840,1222688809,1223293609
200841,1223293609,1223898409
200842,1223898409,1224503209
200843,1224503209,1225108009
200844,1225108009,1225712809
200845,1225712809,1226317609
200846,1226317609,1226922409
200847,1226922409,1227527209
200848,1227527209,1228132009
200849,1228132009,1228736809
200850,1228736809,1229341609
200851,1229341609,1229946409
200852,1229946409,1230810409
200901,1230810409,1231156009
200902,1231156009,1231760809
200903,1231760809,1232365609
200904,1232365609,1232970409
200905,1232970409,1233575209
200906,1233575209,1234180009
200907,1234180009,1234784809
200908,1234784809,1235389609
200909,1235389609,1235994409
200910,1235994409,1236599209
200911,1236599209,1237204009
200912,1237204009,1237808809
200913,1237808809,1238413609
200914,1238413609,1239018409
200915,1239018409,1239623209
200916,1239623209,1240228009
200917,1240228009,1240832809
200918,1240832809,1241437609
200919,1241437609,1242042409
200920,1242042409,1242647209
200921,1242647209,1243252009
200922,1243252009,1243856809
200923,1243856809,1244461609
200924,1244461609,1245066409
200925,1245066409,1245671209
200926,1245671209,1246276009
200927,1246276009,1246880809
200928,1246880809,1247485609
200929,1247485609,1248090409
200930,1248090409,1248695209
200931,1248695209,1249300009
200932,1249300009,1249904809
200933,1249904809,1250509609
200934,1250509609,1251114409
200935,1251114409,1251719209
200936,1251719209,1252324009
200937,1252324009,1252928809
200938,1252928809,1253533609
200939,1253533609,1254138409
200940,1254138409,1254743209
200941,1254743209,1255348009
200942,1255348009,1255952809
200943,1255952809,1256557609
200944,1256557609,1257162409
200945,1257162409,1257767209
200946,1257767209,1258372009
200947,1258372009,1258976809
